time_UTC,da_EUR_MWh
2019-01-01 00:00:00,10.07
2019-01-01 01:00:00,-4.08
2019-01-01 02:00:00,-9.91
2019-01-01 03:00:00,-7.41
2019-01-01 04:00:00,-12.55
2019-01-01 05:00:00,-17.25
2019-01-01 06:00:00,-15.07
2019-01-01 07:00:00,-4.93
2019-01-01 08:00:00,-6.33
2019-01-01 09:00:00,-4.93
2019-01-01 10:00:00,0.45
2019-01-01 11:00:00,0.12
2019-01-01 12:00:00,-0.02
2019-01-01 13:00:00,0.0
2019-01-01 14:00:00,-0.03
2019-01-01 15:00:00,1.97
2019-01-01 16:00:00,9.06
2019-01-01 17:00:00,0.07
2019-01-01 18:00:00,-4.97
2019-01-01 19:00:00,-6.98
2019-01-01 20:00:00,-24.93
2019-01-01 21:00:00,-4.87
2019-01-01 22:00:00,-28.93
2019-01-01 23:00:00,-33.57
2019-01-02 00:00:00,45.47
2019-01-02 01:00:00,43.1
2019-01-02 02:00:00,41.1
2019-01-02 03:00:00,41.51
2019-01-02 04:00:00,45.76
2019-01-02 05:00:00,47.72
2019-01-02 06:00:00,54.04
2019-01-02 07:00:00,56.66
2019-01-02 08:00:00,55.93
2019-01-02 09:00:00,55.51
2019-01-02 10:00:00,56.9
2019-01-02 11:00:00,58.51
2019-01-02 12:00:00,64.0
2019-01-02 13:00:00,64.93
2019-01-02 14:00:00,64.55
2019-01-02 15:00:00,63.91
2019-01-02 16:00:00,67.71
2019-01-02 17:00:00,69.98
2019-01-02 18:00:00,67.34
2019-01-02 19:00:00,62.99
2019-01-02 20:00:00,55.32
2019-01-02 21:00:00,54.01
2019-01-02 22:00:00,50.92
2019-01-02 23:00:00,50.04
2019-01-03 00:00:00,37.1
2019-01-03 01:00:00,36.67
2019-01-03 02:00:00,36.27
2019-01-03 03:00:00,37.33
2019-01-03 04:00:00,39.63
2019-01-03 05:00:00,46.75
2019-01-03 06:00:00,47.98
2019-01-03 07:00:00,49.99
2019-01-03 08:00:00,50.28
2019-01-03 09:00:00,51.15
2019-01-03 10:00:00,50.97
2019-01-03 11:00:00,48.56
2019-01-03 12:00:00,47.4
2019-01-03 13:00:00,46.91
2019-01-03 14:00:00,45.97
2019-01-03 15:00:00,46.93
2019-01-03 16:00:00,50.79
2019-01-03 17:00:00,52.59
2019-01-03 18:00:00,52.49
2019-01-03 19:00:00,48.66
2019-01-03 20:00:00,46.53
2019-01-03 21:00:00,45.65
2019-01-03 22:00:00,44.41
2019-01-03 23:00:00,44.19
2019-01-04 00:00:00,31.07
2019-01-04 01:00:00,31.08
2019-01-04 02:00:00,31.09
2019-01-04 03:00:00,37.22
2019-01-04 04:00:00,47.08
2019-01-04 05:00:00,56.95
2019-01-04 06:00:00,53.56
2019-01-04 07:00:00,45.95
2019-01-04 08:00:00,42.2
2019-01-04 09:00:00,39.11
2019-01-04 10:00:00,34.3
2019-01-04 11:00:00,32.29
2019-01-04 12:00:00,31.1
2019-01-04 13:00:00,31.55
2019-01-04 14:00:00,31.8
2019-01-04 15:00:00,35.74
2019-01-04 16:00:00,43.06
2019-01-04 17:00:00,45.1
2019-01-04 18:00:00,45.06
2019-01-04 19:00:00,39.41
2019-01-04 20:00:00,35.8
2019-01-04 21:00:00,30.65
2019-01-04 22:00:00,29.11
2019-01-04 23:00:00,26.93
2019-01-05 00:00:00,32.64
2019-01-05 01:00:00,31.16
2019-01-05 02:00:00,29.56
2019-01-05 03:00:00,29.72
2019-01-05 04:00:00,27.51
2019-01-05 05:00:00,27.6
2019-01-05 06:00:00,30.9
2019-01-05 07:00:00,29.4
2019-01-05 08:00:00,28.88
2019-01-05 09:00:00,28.65
2019-01-05 10:00:00,21.12
2019-01-05 11:00:00,4.9
2019-01-05 12:00:00,-2.46
2019-01-05 13:00:00,-2.82
2019-01-05 14:00:00,1.98
2019-01-05 15:00:00,19.61
2019-01-05 16:00:00,29.65
2019-01-05 17:00:00,34.51
2019-01-05 18:00:00,37.25
2019-01-05 19:00:00,33.2
2019-01-05 20:00:00,35.18
2019-01-05 21:00:00,29.96
2019-01-05 22:00:00,31.18
2019-01-05 23:00:00,27.67
2019-01-06 00:00:00,28.23
2019-01-06 01:00:00,27.62
2019-01-06 02:00:00,25.53
2019-01-06 03:00:00,23.14
2019-01-06 04:00:00,25.8
2019-01-06 05:00:00,27.55
2019-01-06 06:00:00,29.61
2019-01-06 07:00:00,28.68
2019-01-06 08:00:00,26.42
2019-01-06 09:00:00,25.28
2019-01-06 10:00:00,26.69
2019-01-06 11:00:00,22.4
2019-01-06 12:00:00,18.33
2019-01-06 13:00:00,24.71
2019-01-06 14:00:00,27.57
2019-01-06 15:00:00,29.09
2019-01-06 16:00:00,36.95
2019-01-06 17:00:00,40.15
2019-01-06 18:00:00,41.8
2019-01-06 19:00:00,40.94
2019-01-06 20:00:00,40.36
2019-01-06 21:00:00,37.6
2019-01-06 22:00:00,28.54
2019-01-06 23:00:00,29.0
2019-01-07 00:00:00,25.04
2019-01-07 01:00:00,24.94
2019-01-07 02:00:00,26.04
2019-01-07 03:00:00,27.14
2019-01-07 04:00:00,41.93
2019-01-07 05:00:00,53.1
2019-01-07 06:00:00,52.85
2019-01-07 07:00:00,41.13
2019-01-07 08:00:00,37.57
2019-01-07 09:00:00,32.85
2019-01-07 10:00:00,29.46
2019-01-07 11:00:00,27.39
2019-01-07 12:00:00,27.25
2019-01-07 13:00:00,27.0
2019-01-07 14:00:00,26.72
2019-01-07 15:00:00,27.5
2019-01-07 16:00:00,31.03
2019-01-07 17:00:00,36.49
2019-01-07 18:00:00,36.32
2019-01-07 19:00:00,34.93
2019-01-07 20:00:00,37.24
2019-01-07 21:00:00,31.97
2019-01-07 22:00:00,28.9
2019-01-07 23:00:00,26.97
2019-01-08 00:00:00,36.64
2019-01-08 01:00:00,37.26
2019-01-08 02:00:00,37.37
2019-01-08 03:00:00,37.54
2019-01-08 04:00:00,41.93
2019-01-08 05:00:00,46.92
2019-01-08 06:00:00,46.81
2019-01-08 07:00:00,42.43
2019-01-08 08:00:00,40.76
2019-01-08 09:00:00,39.85
2019-01-08 10:00:00,39.52
2019-01-08 11:00:00,39.57
2019-01-08 12:00:00,39.23
2019-01-08 13:00:00,40.11
2019-01-08 14:00:00,40.15
2019-01-08 15:00:00,45.33
2019-01-08 16:00:00,55.96
2019-01-08 17:00:00,64.94
2019-01-08 18:00:00,68.07
2019-01-08 19:00:00,59.36
2019-01-08 20:00:00,51.53
2019-01-08 21:00:00,44.54
2019-01-08 22:00:00,40.0
2019-01-08 23:00:00,38.89
2019-01-09 00:00:00,26.47
2019-01-09 01:00:00,25.92
2019-01-09 02:00:00,25.29
2019-01-09 03:00:00,25.97
2019-01-09 04:00:00,26.49
2019-01-09 05:00:00,26.49
2019-01-09 06:00:00,26.84
2019-01-09 07:00:00,30.1
2019-01-09 08:00:00,29.7
2019-01-09 09:00:00,30.17
2019-01-09 10:00:00,31.01
2019-01-09 11:00:00,30.23
2019-01-09 12:00:00,28.39
2019-01-09 13:00:00,27.74
2019-01-09 14:00:00,27.2
2019-01-09 15:00:00,29.94
2019-01-09 16:00:00,34.07
2019-01-09 17:00:00,36.52
2019-01-09 18:00:00,39.67
2019-01-09 19:00:00,38.76
2019-01-09 20:00:00,37.33
2019-01-09 21:00:00,34.35
2019-01-09 22:00:00,29.28
2019-01-09 23:00:00,26.97
2019-01-10 00:00:00,30.04
2019-01-10 01:00:00,30.2
2019-01-10 02:00:00,30.13
2019-01-10 03:00:00,33.01
2019-01-10 04:00:00,47.47
2019-01-10 05:00:00,50.98
2019-01-10 06:00:00,51.05
2019-01-10 07:00:00,49.63
